STATE,RATE,DEATHS,URL
AL,223.2,"13,110",/nchs/pressroom/states/alabama/alabama.htm
AK,135,814,/nchs/pressroom/states/alaska/alaska.htm
AZ,141.9,"12,398",/nchs/pressroom/states/arizona/arizona.htm
AR,223.8,"8,270",/nchs/pressroom/states/arkansas/arkansas.htm
CA,142.9,"62,797",/nchs/pressroom/states/california/california.htm
CO,122.7,"7,060",/nchs/pressroom/states/colorado/colorado.htm
CT,141.6,"7,138",/nchs/pressroom/states/connecticut/connecticut.htm
DE,158.4,"1,990",/nchs/pressroom/states/delaware/delaware.htm
FL,145.8,"46,440",/nchs/pressroom/states/florida/florida.htm
GA,175.8,"18,389",/nchs/pressroom/states/georgia/georgia.htm
HI,129.8,"2,575",/nchs/pressroom/states/hawaii/hawaii.htm
ID,162.4,"3,084",/nchs/pressroom/states/idaho/idaho.htm
IL,163.3,"25,394",/nchs/pressroom/states/illinois/illinois.htm
IN,183.2,"14,445",/nchs/pressroom/states/indiana/indiana.htm
IA,167.4,"7,180",/nchs/pressroom/states/iowa/iowa.htm
KS,157.9,"5,723",/nchs/pressroom/states/kansas/kansas.htm
KY,195.9,"10,343",/nchs/pressroom/states/kentucky/kentucky.htm
LA,214.4,"11,260",/nchs/pressroom/states/louisiana/louisiana.htm
ME,143.5,"2,844",/nchs/pressroom/states/maine/maine.htm
MD,164.5,"11,653",/nchs/pressroom/states/maryland/maryland.htm
MA,134.6,"12,140",/nchs/pressroom/states/massachusetts/massachusetts.htm
MI,196.1,"25,187",/nchs/pressroom/states/michigan/michigan.htm
MN,119.1,"8,230",/nchs/pressroom/states/minnesota/minnesota.htm
MS,231.6,"7,944",/nchs/pressroom/states/mississippi/mississippi.htm
MO,191.1,"14,820",/nchs/pressroom/states/missouri/missouri.htm
MT,155,"2,164",/nchs/pressroom/states/montana/montana.htm
NE,149.3,"3,581",/nchs/pressroom/states/nebraska/nebraska.htm
NV,199.3,"6,417",/nchs/pressroom/states/nevada/nevada.htm
NH,149.7,"2,721",/nchs/pressroom/states/newhampshire/newhampshire.htm
NJ,162.3,"18,840",/nchs/pressroom/states/newjersey/newjersey.htm
NM,151.4,"3,896",/nchs/pressroom/states/newmexico/newmexico.htm
NY,171.2,"44,092",/nchs/pressroom/states/newyork/newyork.htm
NC,156.5,"18,808",/nchs/pressroom/states/northcarolina/northcarolina.htm
ND,137.8,"1,326",/nchs/pressroom/states/northdakota/northdakota.htm
OH,186.2,"28,008",/nchs/pressroom/states/ohio/ohio.htm
OK,237.2,"10,772",/nchs/pressroom/states/oklahoma/oklahoma.htm
OR,134,"6,942",/nchs/pressroom/states/oregon/oregon.htm
PA,176,"32,312",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
RI,155.7,"2,339",/nchs/pressroom/states/rhodeisland/rhodeisland.htm
SC,172,"10,418",/nchs/pressroom/states/southcarolina/southcarolina.htm
SD,150.1,"1,710",/nchs/pressroom/states/southdakota/southdakota.htm
TN,202.2,"16,019",/nchs/pressroom/states/tenessee/tennessee.htm
TX,169.2,"45,346",/nchs/pressroom/states/texas/texas.htm
UT,150.2,"3,749",/nchs/pressroom/states/utah/utah.htm
VT,152.5,"1,332",/nchs/pressroom/states/vermont/vermont.htm
VA,154.5,"14,861",/nchs/pressroom/states/virginia/virginia.htm
WA,138.8,"11,582",/nchs/pressroom/states/washington/washington.htm
WV,192,"4,849",/nchs/pressroom/states/westvirginia/westvirginia.htm
WI,157.6,"11,860",/nchs/pressroom/states/wisconsin/wisconsin.htm
WY,148.9,"1,001",/nchs/pressroom/states/wyoming/wyoming.htm
